timestamp,counts,std
10-04-2017 13:13:39,46825.9507122,2937.432278
10-04-2017 13:17:49,48809.3173958,3327.20193261
10-04-2017 13:18:03,48874.1476995,3337.98799992
10-04-2017 13:19:11,49101.8162402,3390.50246253
10-04-2017 13:20:19,49319.7610516,3436.60773361
10-04-2017 13:21:26,49524.1659591,3477.59236562
10-04-2017 13:22:34,49718.3131341,3513.68496068
10-04-2017 13:23:42,49877.2358177,3544.90951161
10-04-2017 13:24:50,50030.5437394,3572.92496622
10-04-2017 13:25:58,50191.5121048,3601.05689499
10-04-2017 13:27:05,50306.2557492,3624.70181223
10-04-2017 13:28:13,50444.6951106,3645.67887239
10-04-2017 13:29:21,50554.1020341,3662.56722513
10-04-2017 13:30:29,50667.727991,3683.01810327
10-04-2017 13:31:36,50767.6183678,3697.803261
10-04-2017 13:32:44,50856.623449,3714.4303938
10-04-2017 13:33:52,50945.1521087,3731.05125129
10-04-2017 13:35:00,51017.9434182,3742.56743319
10-04-2017 13:36:08,51092.330148,3757.19157125
10-04-2017 13:37:15,51152.3725844,3766.66436329
10-04-2017 13:38:23,51224.8394827,3778.03909584
10-04-2017 13:39:31,51283.6785064,3790.00784126
10-04-2017 13:40:38,51348.7489059,3800.18693556
10-04-2017 13:41:46,51392.6885214,3808.52200636
10-04-2017 13:42:54,51440.826796,3817.07542556
10-04-2017 13:44:02,51508.0359455,3826.26578984
10-04-2017 13:45:10,51555.9874609,3836.13226199
10-04-2017 13:46:17,51615.9145208,3841.69076001
10-04-2017 13:47:25,51632.5555902,3847.91744651
10-04-2017 13:48:33,51669.1530758,3856.19986284
10-04-2017 13:49:41,51701.6923733,3862.13352158
10-04-2017 13:50:48,51739.8223869,3869.07717613
10-04-2017 13:51:56,51775.1962661,3875.57291292
10-04-2017 13:53:04,51815.3044797,3881.15354464
10-04-2017 13:54:12,51828.1889557,3886.29897941
10-04-2017 13:55:19,51871.2628629,3887.52281418
10-04-2017 13:56:27,51865.4014981,3893.10012219
10-04-2017 13:57:35,51903.0486486,3900.25155508
10-04-2017 13:58:43,51914.2705502,3903.85928696
10-04-2017 13:59:50,51934.8431871,3907.40995575
10-04-2017 14:00:58,51948.9110623,3910.64036486
10-04-2017 14:02:06,51973.3423265,3915.2932727
10-04-2017 14:03:14,52000.8082086,3919.49096019
10-04-2017 14:04:21,52024.9588257,3923.32545009
10-04-2017 14:05:29,52040.959088,3929.24357927
10-04-2017 14:06:37,52055.9832648,3933.49964075
10-04-2017 14:07:45,52072.769952,3936.56782541
10-04-2017 14:08:53,52079.758298,3939.18633452
10-04-2017 14:10:00,52099.4335098,3942.34690731
10-04-2017 14:11:08,52116.3001852,3945.84083653
10-04-2017 14:12:16,52138.8834598,3950.63281104
10-04-2017 14:13:23,52145.9876576,3951.1654019
10-04-2017 14:14:31,52137.203134,3954.58441705
10-04-2017 14:15:39,52188.1613369,3958.90891193
10-04-2017 14:16:47,52209.2362111,3962.29835982
10-04-2017 14:17:55,52227.7333836,3966.3671547
10-04-2017 14:19:02,52184.4885181,3967.47835724
10-04-2017 14:20:10,52226.7112393,3970.85965734
10-04-2017 14:21:18,52253.7085676,3976.36845456
10-04-2017 14:22:25,52265.4426232,3978.61125927
10-04-2017 14:23:33,52262.8916553,3979.97437167
10-04-2017 14:24:41,52294.8289761,3985.96626043
10-04-2017 14:25:49,52299.0364536,3987.54630614
10-04-2017 14:26:56,52303.8082578,3989.95384008
10-04-2017 14:32:04,52364.4049403,4000.95647239
10-04-2017 14:37:12,52388.0014752,4007.27245905
10-04-2017 14:42:20,52438.3531446,4018.34693111
10-04-2017 14:47:28,52475.3518661,4027.0188671
10-04-2017 14:52:36,52524.5591962,4035.37722808
10-04-2017 14:57:44,52559.7878674,4041.92769232
10-04-2017 15:02:52,52617.8127817,4050.9652207
10-04-2017 15:08:00,52647.3653068,4058.91980255
10-04-2017 15:13:08,52677.8328443,4066.60119059
10-04-2017 15:18:15,52720.1067056,4072.14985384
